"","LD1","LD2"
"JCA01",21.3441787295243,-0.290597703634515
"JCA02",22.7213855094076,-0.220115481685516
"JCA04",21.3772553615404,-0.301500559582242
"JCA05",22.1451986086195,-0.233406602593816
"JCA06",22.5147245901888,-0.258130739649847
"JCA07",22.0123791488938,-0.224614314520299
"JCA08",22.4185660365831,-0.165609856129278
"JCA09",22.470571074119,-0.257260328189557
"JCA18",16.8892626548428,-0.190990011179142
"JCA20",14.2886296819094,-0.333240885990421
"JCA27",14.286464938759,0.0339834901860181
"JED1030",-5.17453557287427,4.81327778002003
"JED1034",-4.72638552193004,4.89503390644137
"JED1035",-5.3480346984122,4.79007075786259
"JED1038",-4.98108171675978,4.67899661948191
"JED1060",-4.79822799013062,4.72374462036976
"JED1063",-4.64480215347291,4.36628161298283
"JED1064",-5.45673106872595,4.68587805901333
"JED1333",-4.17487657395871,4.71242436010562
"JED1342",-4.79799337419657,4.89325871994047
"JED1344",-5.18286322079684,4.92463461233302
"JED1345",-4.63276837072051,4.88447768725959
"JED1347",-3.52435878079762,3.63552849925744
"JED1348",-5.18626592380585,4.6711975561315
"JED1380",-4.94893048818715,5.1127896444198
"JED1381",-4.64901384375389,5.13796774710655
"JED1382",-4.59548429102381,4.91803846802937
"JED1384",-5.0988193517956,5.04907602913896
"JED1385",-5.08934547083653,5.06423440488545
"JED1386",-4.85575934827688,4.95790434727648
"JED1419",-5.01147684706072,5.02427924145515
"JEDBO61",-5.05700837856315,5.03258518820072
"JEDBO62",-4.97757793914848,4.9302046164211
"JEDBO63",-4.87825166707011,4.65731332682117
"JEDBO64",-4.50230688977229,4.93477224884948
"JEDBO65",-4.82944520646678,4.80977850343175
"JEDBO66",-4.84302620106719,4.8259295370268
"JEDBO67",-3.52938559858529,4.29482337159428
"JEDBO68",-4.88343512281018,4.83312936438248
"JEDBO69",-5.08896841686244,4.90292568619247
"JEDBO70",-5.14029979608022,4.8353288845387
"JEDBO71",-4.89660855292696,4.71085367044571
"JEDBO72",-4.68714188300926,4.88572276758552
"JEDBO73",-4.70531782964335,4.63486898629888
"JEDBO74",-3.71977010236266,3.74471914536973
"JEDBO75",-4.5773917707162,5.01449947693225
"JEDBO76",-5.18084204388039,4.74305883217085
"JEDBO77",-4.18332422684538,4.02020072899846
"JEDBO78",-3.73524959379865,4.00312774615622
"JEDBO79",-4.4862550128568,4.82896115167662
"JEDNZ01",-5.00628263362095,4.60954710594626
"JEDNZ02",-5.07029260726867,4.6023853290562
"JEDNZ03",-4.7200531122425,4.62060154075532
"JEDNZ04",-4.99405919783087,4.70306703425749
"JEDNZ05",-4.43900733099989,4.50360936104637
"JEDNZ06",-5.17015200072803,4.70668086382763
"JEDNZ07_1",-4.88555119881343,4.61659196100601
"JEDNZ08",-4.5128959671161,4.7238515555411
"JEDNZ09_1",-4.33293340428204,4.5671663139101
"JEDNZ10_2",-5.14844832716734,4.66870456914062
"JEDNZ11_1",-5.02272109372254,4.81389055509123
"JEDNZ12_2",-5.16379063753336,4.70595803195491
"JEDNZ13_1",-4.90891214372442,4.83611871092314
"JEDNZ14_1",-5.10704011416368,4.54092057589686
"JEDNZ15",-4.61254354978918,4.88588653852698
"JEDNZ16",-4.96448085615674,4.50330394229789
"JEDNZ17",-4.63768484797925,4.53713233483843
"JEDNZ18",-4.93345816007841,4.57896760197873
"JEDNZ19",-4.50482764830328,4.58179958119321
"JEDNZ20",-3.14819285035098,3.66241534538037
"JEDVIC01",-5.16741199891089,5.0148198896681
"JEDVIC04",-4.72227304659072,4.83856043286811
"JEDVIC05",-5.24605778085091,4.99654818291225
"JEDVIC06",-5.17696388722692,5.00926834518734
"JEDVIC08",-4.68832794909113,5.15420483972939
"JEDVIC09",-4.91777259859185,4.83789017535783
"JEDVIC12",-4.12614107833807,4.30423864786229
"JEDVIC13",-5.22107833948385,4.83861833917878
"JEDVIC14",-4.72201420488815,5.01144112412222
"JEDVIC15",-4.26622307967265,4.37543993368855
"JEDVIC1B",-4.62478526456283,4.75446584960726
"JEDVIC2B",-4.74892588985935,5.11732743224082
"JEDVIC3B",-5.31573233564034,4.74933876345245
"JEDVIC4B",-4.67970272002524,4.88476634630132
"JEDWA01",-4.93563226392175,4.88743952194866
"JEDWA02",-4.14528837626164,4.24030661096272
"JEDWA03",-4.61892540414707,4.7275431646345
"JEDWA04",-4.83997016696288,5.09950937322206
"JEDWA05",-5.16976136682103,4.92126259149778
"JEDWA06",-4.84120344658586,4.82465469167881
"JEDWA07",-4.86144106759585,4.88404907419149
"JEDWA08",-4.86645395444548,4.8233362688158
"JEDWA09",-4.95191254897183,4.84921859834854
"JEDWA10",-4.9254937433143,4.83640717431348
"JEDWA11",-5.01933479715323,4.8119280495098
"JEDWA12",-5.14505671293344,4.91170488987128
"JEDWA14",-4.87230087616987,4.83339801178516
"JEDWA15",-4.44596189814412,4.8176028033351
